id,question,context,is_answerable,gold_answer,category
Q-001,'Бала' сөзінің көпше түрі?,Тоғызқұмалақ — қазақтың дәстүрлі зияткерлік ойыны.,False,,language
Q-002,Қазақстанның ең үлкен қаласы қайсы?,Әл-Фараби атындағы ҚазҰУ Алматыда орналасқан.,False,,capital
Q-003,Қазақстанның ең ұзын өзені қайсы?,Білім күні — 1 қыркүйек.,False,,geo
Q-004,Астананың күні қашан?,Бұйрық рай: оқы!,False,,dates
Q-005,Құрманғазы кім?,Құрманғазы — күйші-композитор.,True,күйші,people
Q-006,Абай атындағы опера және балет театры қайда?,Есіл өзені Астана қаласы арқылы ағады.,False,,institutions
Q-007,Қазақтың ұлттық тағамы?,Бешбармақ — қазақтың ұлттық тағамы.,True,Бешбармақ,culture
Q-008,Ауыл шаруашылығындағы маңызды дақыл?,Үй — үйге — үйде — үйден.,False,,economy
Q-009,Ұлттық қор не үшін құрылған?,Ы. Жақаев — атақты күрішші.,False,,economy
Q-010,Алаш партиясы қай ғасырда құрылған?,Алаш партиясы ХХ ғасырдың басында құрылған.,True,ХХ ғасырдың басы,history
Q-011,Тоғызқұмалақ не?,Тоғызқұмалақ — қазақтың дәстүрлі зияткерлік ойыны.,True,зияткерлік ойын,culture
Q-012,ҚР ҰҒА не?,Ұлттық ғылым академиясы — жетекші ғылыми ұйым.,True,ғылыми ұйым,science
Q-013,Мұнай өндіретін ірі өңір?,Атырау облысы — мұнай-газ саласының ірі өңірі.,True,Атырау облысы,economy
Q-014,Қазақ халқының дәстүрлі киімі?,Құрманғазы — күйші-композитор.,False,,culture
Q-015,Ғарышкерлерді дайындау орталығы қайда?,Ғарышкерлерді дайындау бағдарламалары тарихи тұрғыда Ресеймен байланыста дамыды.,True,Ресей,science
Q-016,АЭФ қай қалада өтеді?,Бұл — қазақ тіліндегі сыпайы амандасу.,False,,economy
Q-017,Қазақ хандығы қашан құрылған?,Қазақстанның ұлттық валютасы — теңге.,False,,history
Q-018,Жаңа жыл қашан?,Бауыржан — даңқты қолбасшы.,False,,dates
Q-019,'Мен бардым' қай шақ?,Бұл — өткен шақ.,True,өткен шақ,language
Q-020,Қазақ халқының дәстүрлі киімі?,Шапан — қазақтың дәстүрлі киімдерінің бірі.,True,Шапан,culture
Q-021,Ыбырай Жақаев несімен әйгілі?,Ы. Жақаев — атақты күрішші.,True,күрішші,people
Q-022,Қазақстанның бұрынғы астанасы қай қала?,Мәтінде аталған мәлімет жоқ.,False,,capital
Q-023,Білім күні қашан?,Білім күні — 1 қыркүйек.,True,1 қыркүйек,dates
Q-024,Қазақ тілінің әліпбиі қандай графикаға негізделген?,Бешбармақ — қазақтың ұлттық тағамы.,False,,language
Q-025,Наурыз мейрамы қашан аталып өтеді?,Наурыз мейрамы 22 наурызда аталып өтеді.,True,22 наурыз,culture
Q-026,Саятшылық нені білдіреді?,Саятшылық — құсбегілік дәстүрі.,True,құсбегілік,culture
Q-027,'Кім?' қандай сұрақ сөзі?,Бұл — зат есімге қойылатын сұрақ.,True,зат есім,language
Q-028,Қыз қуу деген не?,Қыз қуу — қазақтың ат үстіндегі ұлттық ойыны.,True,ұлттық ойын,culture
Q-029,Шәкен Айманов немен танымал?,Ш. Айманов — белгілі кино режиссері және актер.,True,режиссер,people
Q-030,Әлия Молдағұлова кім?,"Балқаш — жартылай тұзды, жартылай тұщы ірі көл.",False,,people
Q-031,Қазақстан астанасы қай жылы Астанаға көшірілді?,Астана 1997 жылы Қазақстанның астанасы болып жарияланды.,True,1997,capital
Q-032,Қай қала 'оңтүстік астана' деп аталады?,Берілген үзіндіде нақты дерек келтірілмеген.,False,,capital
Q-033,EXPO қай жылы Астанада өтті?,Контекст сұраққа жауап бермейді.,False,,history
Q-034,Наурыз мейрамы қашан аталып өтеді?,Қазақ ұлттық аграрлық университеті Алматыда орналасқан.,False,,culture
Q-035,Тілдер күні қашан?,Бұл — өткен шақ.,False,,dates
Q-036,ЭКСПО көрме кешені қай қалада?,ЭКСПО көрме кешені Астанада орналасқан.,True,Астана,institutions
Q-037,Шәкен Айманов немен танымал?,Астана 1997 жылы Қазақстанның астанасы болып жарияланды.,False,,people
Q-038,Димаш Құдайберген кім?,Атырау облысы — мұнай-газ саласының ірі өңірі.,False,,people
Q-039,Ұлттық қор не үшін құрылған?,Ұлттық қор — мұнай-газ кірістерін тұрақтандыру үшін құрылған.,True,тұрақтандыру,economy
Q-040,Тоғызқұмалақ не?,Қазақстанның батысы Каспий теңізімен шектеседі.,False,,culture
Q-041,Қазақтың ұлттық тағамы?,"Қазақстанда үлкен синхротрон жоқ, бірақ жоба талқылануы мүмкін.",False,,culture
Q-042,Семей полигоны қайда орналасқан?,Бәйтерек монументі Астанада орналасқан.,False,,science
Q-043,Теңіз көлі қай облыста?,Берілген үзіндіде нақты дерек келтірілмеген.,False,,geo
